Linea_id,Casa,Cantidad_asignada,Costo_asignado,Metodo,Confianza,Justificacion
2129,Casa 4,5.0,29314.15,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2220,Casa 4,2.0,11725.66,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2222,Casa 4,3.0,17588.489999999998,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2275,Casa 4,4.0,23451.32,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2368,Casa 1,2.0,4126952.0,Directo estructural,Alta,Factura estructural identificada
2369,Casa 1,2.0,150000.0,Directo estructural,Alta,Factura estructural identificada
2370,Casa 1,1.0,114184.07,Directo estructural,Alta,Factura estructural identificada
2371,Casa 1,1.0,33185.84,Directo estructural,Alta,Factura estructural identificada
2372,Casa 2,1.0,4825807.0,Directo estructural,Alta,Factura estructural identificada
2373,Casa 2,2.0,150000.0,Directo estructural,Alta,Factura estructural identificada
2374,Casa 2,1.0,37500.0,Directo estructural,Alta,Factura estructural identificada
2375,Casa 3,1.0,2110071.0,Directo estructural,Alta,Factura estructural identificada
2376,Casa 3,1.0,75000.0,Directo estructural,Alta,Factura estructural identificada
2377,Casa 3,1.0,2110340.0,Directo estructural,Alta,Factura estructural identificada
2378,Casa 3,1.0,75000.0,Directo estructural,Alta,Factura estructural identificada
2379,Casa 3,1.0,134018.58,Directo estructural,Alta,Factura estructural identificada
2380,Casa 4,1.0,150846.78,Directo estructural,Alta,Factura estructural identificada
2381,Casa 4,1.0,46750.0,Directo estructural,Alta,Factura estructural identificada
2382,Casa 4,1.0,160131.86,Directo estructural,Alta,Factura estructural identificada
1,Casa 1,0.25,553.0975,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1,Casa 2,0.25,553.0975,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1,Casa 3,0.25,553.0975,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1,Casa 4,0.25,553.0975,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
8,Casa 1,0.25,752.2125,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
