Material_homologado,Familia,Cantidad_base,Costo_base,Estado
Fragüa / grout fino,Pisos y enchapes,4.0,6166.360000000001,Reconstruido/observado
Fragüa 3 kg,Pisos y enchapes,6.75,17860.5675,Reconstruido/observado
Franela Blanca Metro,Otros insumos,0.25,737.5,Reconstruido/observado
Fregadero,Cocina,0.5,53982.3,Reconstruido/observado
Fuze Verd Zero 500,Otros insumos,0.5,307.52,Reconstruido/observado
Gas butano,Consumibles,4.5,5127.355,Reconstruido/observado
"Gaza P/Varil 5/8""",Otros insumos,0.25,225.4425,Reconstruido/observado
"Gaza Sin Fin Inox 1""",Otros insumos,0.25,154.8675,Reconstruido/observado
"Gaza Sin Fin Inox 5/8""",Otros insumos,0.5,235.265,Reconstruido/observado
"Gaza Ul 3/4"" Varil",Otros insumos,0.25,444.9125,Reconstruido/observado
Grasa Multiuso 1/16,Otros insumos,0.25,396.77,Reconstruido/observado
Grifería,Sanitarios,2.25,33887.175,Reconstruido/observado
Grifería lavamanos,Sanitarios,0.25,1260.84,Reconstruido/observado
Grifo Monomando 1/,Otros insumos,0.25,634.2925,Reconstruido/observado
Gypsum 12 mm 1.22x2.44,Gypsum y liviano,4.5,24332.265,Reconstruido/observado
Herraje mobiliario,Carpintería y mobiliario,97.66666666666667,62455.99666666667,Pendiente proyectado desde Casas 1–3
"Hex G2 3 8X2 1 2""",Otros insumos,0.5,219.47,Reconstruido/observado
Hex-9 Multiconstru,Otros insumos,0.25,492.4775,Reconstruido/observado
Hi C Te Limon 330M,Otros insumos,0.75,398.2275,Reconstruido/observado
Hi-C Melocoton 250,Otros insumos,0.25,109.5125,Reconstruido/observado
Hoja Segueta 24 Dp,Otros insumos,0.25,186.505,Reconstruido/observado
Hoja Snap-Off Rep,Otros insumos,0.25,635.84,Reconstruido/observado
Holder Xo-C101,Otros insumos,0.25,1150.4425,Reconstruido/observado
Iluminación LED,Electricidad,8.75,185636.51750000002,Reconstruido/observado
Inodoro,Sanitarios,2.6666666666666665,102373.48666666665,Pendiente proyectado desde Casas 1–3
Interruptor / toma / caja eléctrica,Electricidad,11.5,14909.29,Reconstruido/observado
J. Embutida/64 Nsc,Otros insumos,1.5,1477.44,Reconstruido/observado
J. Secretarial/86,Otros insumos,1.75,2892.9249999999997,Reconstruido/observado
Jugo Durazno 330Ml,Otros insumos,0.5,190.71,Reconstruido/observado
Kit Inicio Cargado,Otros insumos,0.25,4171.0175,Reconstruido/observado
Kromchitos 90Grs,Otros insumos,0.25,110.62,Reconstruido/observado
Lap Carp Lyra Amar,Otros insumos,0.25,101.5475,Reconstruido/observado
Lap Carp Rojo Lyra,Otros insumos,0.5,184.955,Reconstruido/observado
Laro Ma Wen Osc 1/,Otros insumos,0.25,1507.7425,Reconstruido/observado
Lavadero,Sanitarios,0.25,11864.16,Reconstruido/observado
Lavamanos,Sanitarios,2.0,48174.630000000005,Pendiente proyectado desde Casas 1–3
Lija,Pintura y acabados,77.5,21700.43,Reconstruido/observado
Limpia Piso. Nit 1,Otros insumos,0.25,1088.275,Reconstruido/observado
Limpiador Mult 750,Otros insumos,0.25,751.105,Reconstruido/observado
Limpiador Parabrisas,Otros insumos,0.25,1061.9475,Reconstruido/observado
"Lla Cho Ros 1/2""",Otros insumos,0.25,823.01,Reconstruido/observado
Llave / válvula hidráulica,Plomería,14.75,36302.8675,Reconstruido/observado
Lm Blanco 16Mm Fp,Otros insumos,0.25,4091.815,Reconstruido/observado
Lona / protección,Protección de obra,0.5,2822.125,Reconstruido/observado
Luminaria colgante,Electricidad,0.75,12046.462500000001,Reconstruido/observado
Luminaria empotrable,Electricidad,7.75,13480.539999999999,Reconstruido/observado
Lámina gypsum 12 mm,Gypsum y liviano,67.5,283458.47,Reconstruido/observado
Lámina metálica / Metalum,Cubierta y techo,2.25,7649.1050000000005,Reconstruido/observado
Lámina policarbonato,Cubierta y cerramientos,0.8333333333333334,9911.278333333334,Pendiente proyectado desde Casas 1–3
Lámina techo ondulada #26,Cubierta y techo,4.0,12088.48,Reconstruido/observado
M M S Chocolate 45 Grs,Otros insumos,0.5,221.24,Reconstruido/observado
Madera formaleta,Madera,10.0,23008.800000000003,Reconstruido/observado
Madera laurel,Madera,28.5,6626.46,Reconstruido/observado
Madera pino,Madera,34.25,44810.2025,Reconstruido/observado
Madera semiduro,Madera,6.0,16162.86,Reconstruido/observado
Malco Tru-Grit Polish Reenvasado,Otros insumos,0.25,1500.0,Reconstruido/observado
