Material_homologado,Familia,Cantidad_base,Costo_base,Estado
Riel / soporte mobiliario,Carpintería y mobiliario,10.666666666666666,44327.73666666667,Pendiente proyectado desde Casas 1–3
Rod C/Ext 43A98Cm,Otros insumos,0.25,1003.76,Reconstruido/observado
Rodapié,Pisos y enchapes,5.0,31493.809999999998,Reconstruido/observado
"Rodin F 11/2"" 30Kg",Otros insumos,0.5,817.255,Reconstruido/observado
"Rodin G 1 1/2"" 35K",Otros insumos,0.5,1039.825,Reconstruido/observado
Rollo Agricola 1Kg,Otros insumos,0.5,1188.055,Reconstruido/observado
Rueda Hule 3/8 Dia,Otros insumos,0.5,3936.285,Reconstruido/observado
Segueta 10 Alumini,Otros insumos,0.25,704.8675,Reconstruido/observado
Sellador concreto,Pintura,5.5,308794.69,Reconstruido/observado
Semiduro madera,Madera,213.0,527997.55,Reconstruido/observado
Sencillo 20A 125-2,Otros insumos,0.25,286.2825,Reconstruido/observado
Servicio mobiliario,Carpintería y mobiliario,0.3333333333333333,166.66666666666666,Pendiente proyectado desde Casas 1–3
Set 2 Lingas 500 K,Otros insumos,0.25,739.6025,Reconstruido/observado
Set Emp P Cache Fr,Otros insumos,0.25,249.5575,Reconstruido/observado
Set Payaso Tirantes,Otros insumos,0.25,658.185,Reconstruido/observado
Shampoo P/Autos C/Ce,Otros insumos,0.25,752.2125,Reconstruido/observado
Sifón sanitario,Plomería sanitaria,5.75,10517.6925,Reconstruido/observado
Socket Fijo De Porcelana Rosca E-12 U,Otros insumos,0.25,77.4325,Reconstruido/observado
"Sold 6013 1/8"" Lin",Otros insumos,0.5,1366.37,Reconstruido/observado
Soldadura,Estructura metálica,1.75,33869.0325,Reconstruido/observado
Soport Movil Tv 14-37 Hasta 35 Kg,Otros insumos,0.25,1412.745,Reconstruido/observado
Spray 2X Blnco Bri,Otros insumos,0.25,748.6725,Reconstruido/observado
Sur Nit Intensaclean Expert,Otros insumos,0.5,2920.355,Reconstruido/observado
T Secundari 122Cm,Otros insumos,1.0,557.52,Reconstruido/observado
T Segundari 61Cm,Otros insumos,1.0,283.19,Reconstruido/observado
"T.A. 1/2X1/2 "" 60C",Otros insumos,1.25,1603.5425,Reconstruido/observado
T.A. 1/2X1/2 40Cm,Otros insumos,0.25,424.78,Reconstruido/observado
Tap Mel 0164 Pe 22,Otros insumos,1.25,455.75,Reconstruido/observado
"Tapa Hg 1/2""",Otros insumos,0.5,109.29,Reconstruido/observado
Tapa P Caj Oct Con,Otros insumos,1.5,242.92499999999998,Reconstruido/observado
Tapa Tor Text13Mm,Otros insumos,1.75,557.515,Reconstruido/observado
Tapa Torn Anthraci,Otros insumos,0.25,81.8575,Reconstruido/observado
Tapa Torn Blanco,Otros insumos,0.25,684.735,Reconstruido/observado
Tapa Torn Concrete,Otros insumos,0.75,232.965,Reconstruido/observado
Tapa Torn Roble Ru,Otros insumos,0.25,725.22,Reconstruido/observado
Tapa Torn Seda Gio,Otros insumos,0.25,800.4425,Reconstruido/observado
Tapa Torni Caramel,Otros insumos,0.25,626.105,Reconstruido/observado
Tapa Torwengue0.13,Otros insumos,0.25,142.7,Reconstruido/observado
Tapa canoa alto caudal,Plomería pluvial,0.75,1257.0825,Reconstruido/observado
Tapacanto,Carpintería y mobiliario,139.33333333333334,21636.78,Pendiente proyectado desde Casas 1–3
Tapator Chantilly,Otros insumos,0.25,155.9725,Reconstruido/observado
Tapatorsilver 13Mm,Otros insumos,0.5,201.325,Reconstruido/observado
Tapeta / canto mobiliario,Carpintería y mobiliario,420.6666666666667,79624.44666666667,Pendiente proyectado desde Casas 1–3
Tarugos 3/8 33Pz,Otros insumos,0.5,439.38,Reconstruido/observado
Tarugos 5/16 100 P,Otros insumos,0.5,613.275,Reconstruido/observado
Tarugos 5/16 33Pz,Otros insumos,0.5,497.345,Reconstruido/observado
Tc Plana 1 4X1 3 4,Otros insumos,0.5,385.84,Reconstruido/observado
Tc Plana 3 16X2 1,Otros insumos,0.25,187.61,Reconstruido/observado
Tc Plana 3 16X2 3,Otros insumos,0.75,475.22249999999997,Reconstruido/observado
Te Verde Antiox 500 Ml Bot,Otros insumos,0.25,175.885,Reconstruido/observado
Tee sanitaria,Plomería sanitaria,5.0,10404.43,Reconstruido/observado
"Terminal Caf 1""",Otros insumos,2.5,2294.25,Reconstruido/observado
Thinner / diluyente,Pintura,4.25,17476.465,Reconstruido/observado
Tinte / sellador madera,Pintura madera,1.25,5123.6775,Reconstruido/observado
Tiro fijación,Ferretería,126.0,19621.469999999998,Reconstruido/observado
To Carroceria 1/4 X 1 1/4,Otros insumos,2.5,69.125,Reconstruido/observado
To Carroceria 5/16 X 1,Otros insumos,2.5,125.0,Reconstruido/observado
Toallero / accesorio baño,Sanitarios,0.25,1160.84,Reconstruido/observado
Tope puerta,Puertas y cerraduras,4.333333333333333,15803.236666666666,Pendiente proyectado desde Casas 1–3
"Torlac Pf 8X1/2"" 5",Otros insumos,0.75,1243.1399999999999,Reconstruido/observado
"Torlack Pf 8X1/2""",Otros insumos,2.0,359.3,Reconstruido/observado
Torn Ensamb 6X1 1/,Otros insumos,2.0,1224.78,Reconstruido/observado
Torn Original 6 X 20 Blanco Au18807-U,Otros insumos,0.5,219.415,Reconstruido/observado
Trampa de grasa,Plomería sanitaria,0.25,1725.6625,Reconstruido/observado
Transmisor Fm Blue,Otros insumos,0.25,1736.725,Reconstruido/observado
Transporte / flete,Servicios,4.25,132873.89500000002,Reconstruido/observado
Trident Slab White Yerba,Otros insumos,0.25,94.0275,Reconstruido/observado
Trident Value Pack Freshmint,Otros insumos,0.25,232.3,Reconstruido/observado
Trident Vlp Yerbab,Otros insumos,0.5,553.095,Reconstruido/observado
Tubería PVC / CPVC,Plomería,6.25,29062.5775,Reconstruido/observado
Tubo estructural 100x100,Estructura metálica,5.5,90506.62500000001,Reconstruido/observado
Tubo estructural 50x150,Estructura metálica,5.75,94500.64,Reconstruido/observado
Tubo estructural 50x50,Estructura metálica,6.25,49157.625,Reconstruido/observado
Tubo estructural cuadrado 50x50,Estructura metálica,0.75,5634.2925000000005,Reconstruido/observado
Tubo estructural rectangular 50x150,Estructura metálica,1.0,15151.33,Reconstruido/observado
Tubo industrial metálico,Estructura metálica,5.25,24425.880000000005,Reconstruido/observado
Vari Coope 2 4 5/8,Otros insumos,0.25,2364.6025,Reconstruido/observado
Vari Coope 2.4 5/8,Otros insumos,0.5,4729.205,Reconstruido/observado
Varilla #3,Acero refuerzo,651.0,847512.3200000001,Reconstruido/observado
Varilla #4,Acero refuerzo,60.0,136938.0,Reconstruido/observado
Vidrio / espejo,Vidrios,2.6666666666666665,3228.3199999999997,Pendiente proyectado desde Casas 1–3
Viga corona prefabricada,Estructura,1.0,150846.78,Reconstruido/observado
Yee sanitaria,Plomería sanitaria,0.75,4979.205,Reconstruido/observado
Zacate block,Exteriores,90.0,128809.43333333333,Pendiente proyectado desde Casas 1–3
